-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST
Location: latitude  26.7578   longitude 40.9869 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1157.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,WS10M_MAX,WD10M,PRECTOTCORR
2000,1,1,11.71,-2.89,20.38,4.92,38.17,88.78,3.49,6.28,126.2,0.0
2000,1,2,11.86,-3.24,20.9,4.7,36.69,88.68,3.6,4.96,136.0,0.0
2000,1,3,14.05,-4.18,22.92,6.85,29.66,88.43,6.02,9.29,166.4,0.0
2000,1,4,15.71,4.11,22.76,8.46,47.31,88.21,4.81,7.74,228.6,0.47
2000,1,5,12.56,8.96,15.11,10.42,79.12,88.24,3.98,4.92,266.3,3.98
2000,1,6,9.58,-0.22,15.5,5.08,53.46,88.46,4.12,6.15,325.4,0.0
2000,1,7,6.99,0.38,10.28,3.9,63.22,88.6,4.55,5.81,105.7,0.0
2000,1,8,8.17,3.83,16.86,1.87,77.4,88.44,3.64,5.06,135.3,0.0
2000,1,9,7.98,1.84,15.66,3.95,72.06,88.45,3.86,5.92,24.4,0.0
2000,1,10,5.55,-3.82,13.01,1.18,58.44,88.82,3.45,4.88,24.6,0.0
2000,1,11,6.27,-5.97,14.86,-0.67,44.12,88.83,2.59,4.09,67.1,0.0
2000,1,12,7.8,-3.02,16.29,1.02,47.72,88.6,4.29,7.17,112.4,0.0
2000,1,13,6.27,-3.2,14.21,-0.14,53.42,88.75,5.09,6.83,67.4,0.0
2000,1,14,6.56,-3.92,14.61,0.44,48.52,88.74,5.23,8.59,108.6,0.0
2000,1,15,11.79,-1.47,23.31,3.15,43.04,88.43,4.24,6.79,225.4,0.07
2000,1,16,9.87,1.5,17.83,4.2,57.16,88.25,4.69,7.0,329.5,0.0
2000,1,17,5.16,-4.32,12.18,-0.11,52.67,88.39,4.62,7.67,59.2,0.0
2000,1,18,7.03,-5.51,16.64,-1.11,43.46,88.19,5.99,9.3,172.9,0.0
2000,1,19,9.34,-0.97,17.57,3.32,54.96,88.54,4.48,6.77,276.0,0.0
2000,1,20,8.21,-6.53,16.34,1.39,38.13,88.49,5.4,9.73,270.1,0.0
2000,1,21,6.96,-2.63,15.05,0.09,54.82,88.55,4.88,6.89,297.2,0.0
2000,1,22,7.93,-5.44,17.65,1.14,42.17,88.59,3.8,5.82,328.4,0.0
2000,1,23,6.87,-3.49,16.13,-0.9,55.15,88.8,3.65,5.29,39.8,0.0
2000,1,24,7.82,-3.1,16.9,0.42,50.81,89.02,4.54,7.35,118.7,0.0
2000,1,25,11.87,-3.37,22.75,3.15,39.19,88.88,4.46,6.79,196.7,0.0
2000,1,26,13.82,-3.45,23.33,5.84,31.28,88.57,5.16,8.82,276.6,0.0
2000,1,27,11.73,-2.73,19.98,3.86,39.63,88.14,5.54,8.97,270.0,0.0
2000,1,28,5.93,-3.29,11.54,-0.1,55.46,88.06,7.13,10.99,275.3,0.02
2000,1,29,2.21,-8.11,9.15,-3.5,49.3,88.96,4.98,8.23,334.9,0.0
2000,1,30,4.75,-7.55,13.38,-3.05,45.23,89.36,4.77,6.8,96.7,0.0
2000,1,31,8.71,-5.01,17.29,1.66,39.0,89.13,6.07,9.77,139.9,0.0
2000,2,1,10.95,-3.49,20.63,3.99,38.8,88.73,5.6,7.89,275.6,0.0
2000,2,2,8.26,-6.82,16.59,1.13,37.15,88.87,4.08,5.38,359.9,0.0
2000,2,3,8.06,-3.59,15.43,0.84,46.92,89.01,4.06,6.66,80.2,0.0
2000,2,4,9.92,-3.49,18.09,4.27,39.95,88.86,5.22,8.26,124.8,0.0
2000,2,5,11.88,-5.45,21.08,2.99,30.34,88.59,3.08,4.42,132.3,0.0
2000,2,6,10.01,-5.78,18.68,3.5,35.96,88.34,6.17,10.95,283.8,0.0
2000,2,7,6.71,-3.59,13.56,1.88,50.58,88.6,5.01,6.65,334.2,0.0
2000,2,8,7.04,-11.31,13.72,2.32,24.69,88.57,3.38,4.87,75.6,0.0
2000,2,9,6.27,-12.63,15.07,-1.22,23.75,88.81,2.49,4.97,66.3,0.0
2000,2,10,8.08,-8.85,14.56,2.28,29.51,89.05,6.08,7.73,114.7,0.0
2000,2,11,11.23,-5.59,19.16,5.49,30.32,88.83,5.58,7.72,148.0,0.0
2000,2,12,14.6,4.07,23.97,9.2,53.49,88.56,4.46,7.49,190.3,7.55
2000,2,13,12.81,7.46,18.19,5.15,72.43,88.35,5.19,7.9,277.2,11.5
2000,2,14,8.83,-2.61,16.9,0.75,48.1,88.78,3.54,6.28,14.3,0.0
